name,ontologyTermURI,code,codesystem,definition
Maasai,http://purl.obolibrary.org/obo/AfPO_0000056,AfPO:0000056,AfPO,A Nilotic Eastern population with a population size of 0.9 millions
Samburu,http://purl.obolibrary.org/obo/AfPO_0000057,AfPO:0000057,AfPO,A Nilotic Eastern population with a population size of 0.1 millions
Tiv,http://purl.obolibrary.org/obo/AfPO_0000058,AfPO:0000058,AfPO,A Bantu Western population with a population size of 3.8 millions
Nama,http://purl.obolibrary.org/obo/AfPO_0000060,AfPO:0000060,AfPO,A Khoisan South population with a population size of 0.13 millions
Susu,http://purl.obolibrary.org/obo/AfPO_0000064,AfPO:0000064,AfPO,A Mande Western population with a population size of 2.2 millions
Taveta,http://purl.obolibrary.org/obo/AfPO_0000066,AfPO:0000066,AfPO,A Bantu Eastern population with a population size of 0.026 millions
Bassa,http://purl.obolibrary.org/obo/AfPO_0000067,AfPO:0000067,AfPO,A Bantu Western population with a population size of 0.8 million
Zulu,http://purl.obolibrary.org/obo/AfPO_0000069,AfPO:0000069,AfPO,A Nguni population with a population size of 12 millions
Dinka,http://purl.obolibrary.org/obo/AfPO_0000071,AfPO:0000071,AfPO,A Nilotic Eastern population with a population size of 5 millions
Bambara,http://purl.obolibrary.org/obo/AfPO_0000074,AfPO:0000074,AfPO,A Mande Western population with a population size of 14 millions
Sebei,http://purl.obolibrary.org/obo/AfPO_0000075,AfPO:0000075,AfPO,A Kalenjin population with a population size of 0.3 million
Masalit,http://purl.obolibrary.org/obo/AfPO_0000080,AfPO:0000080,AfPO,
Bulu,http://purl.obolibrary.org/obo/AfPO_0000084,AfPO:0000084,AfPO,
Taita,http://purl.obolibrary.org/obo/AfPO_0000085,AfPO:0000085,AfPO,A Bantu Eastern population with a population size of 0.34 millions
Igbo,http://purl.obolibrary.org/obo/AfPO_0000087,AfPO:0000087,AfPO,A Western African population with a population size of >34 millions
Kikuyu,http://purl.obolibrary.org/obo/AfPO_0000088,AfPO:0000088,AfPO,A Bantu Eastern population with a population size of 5.3 millions
Terik,http://purl.obolibrary.org/obo/AfPO_0000091,AfPO:0000091,AfPO,
Anuak,http://purl.obolibrary.org/obo/AfPO_0000095,AfPO:0000095,AfPO,
Nandi,http://purl.obolibrary.org/obo/AfPO_0000098,AfPO:0000098,AfPO,"A Kalenjin population with a population size of 937,884"
Lunda,http://purl.obolibrary.org/obo/AfPO_0000102,AfPO:0000102,AfPO,
Tsonga,http://purl.obolibrary.org/obo/AfPO_0000103,AfPO:0000103,AfPO,A Bantu Southern population with a population size of 6 millions
Fulani,http://purl.obolibrary.org/obo/AfPO_0000104,AfPO:0000104,AfPO,"A Northern African, Central African, Western African, Eastern African population with a population size of 25 millions"
Yoruba,http://purl.obolibrary.org/obo/AfPO_0000105,AfPO:0000105,AfPO,A Western African population with a population size of 45 millions
Zaghawa,http://purl.obolibrary.org/obo/AfPO_0000107,AfPO:0000107,AfPO,"A Nilotic Central, Nilotic Eastern, Northern African population with a population size of 0.4 million"
Tugen,http://purl.obolibrary.org/obo/AfPO_0000109,AfPO:0000109,AfPO,A Kalenjin population with a population size of 197556
Meru,http://purl.obolibrary.org/obo/AfPO_0000112,AfPO:0000112,AfPO,A Bantu Eastern population with a population size of 2.7 Millions
Oromo,http://purl.obolibrary.org/obo/AfPO_0000113,AfPO:0000113,AfPO,A Cushitic Eastern population with a population size of 40 millions
Fur,http://purl.obolibrary.org/obo/AfPO_0000115,AfPO:0000115,AfPO,A Nilotic Eastern population with a population size of 1 million
Xhosa,http://purl.obolibrary.org/obo/AfPO_0000116,AfPO:0000116,AfPO,A Nguni population with a population size of 7.9 millions
Minianka,http://purl.obolibrary.org/obo/AfPO_0000121,AfPO:0000121,AfPO,A Senufo population with a population size of 0.74 million
Herero,http://purl.obolibrary.org/obo/AfPO_0000123,AfPO:0000123,AfPO,
