tableName,tableType,tableExtends,columnName,columnType,key,required,refSchema,refTable,refBack,visible,semantics,label,description
patients,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C70699,Patients,
patients,,,patient_id,string,1,TRUE,,,,,http://purl.obolibrary.org/obo/NCIT_C164337,Patient identifier,Enter the Recon4IMD patient identifier. This identifier is generated upon patient registration into the IMDhub.
patients,,,gender_identity,ontology,,TRUE,,assignedGenderAtBirth,,,http://purl.obolibrary.org/obo/GSSO_009418,Gender,
patients,,,status,ontology,,TRUE,,statuses,,,http://purl.obolibrary.org/obo/NCIT_C27993,Status,
patients,,,visits,refback,,,,visits,visit_id,,,,
visits,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25716,Visits,Record of when patients visited the clinical site
visits,,,visit_id,ref,1,,,patients,,,http://purl.obolibrary.org/obo/NCIT_C83101,Visit Identifier,Enter a unique identifier for the patient
visits,,,patient_id,ref,,TRUE,,patients,,,http://purl.obolibrary.org/obo/NCIT_C164337,Patient identifier,
visits,,,date_of_visit,date,,TRUE,,,,,http://purl.obolibrary.org/obo/NCIT_C83031,Date of the visit,
visits,,,datetime_last_alcohol_ingest,datetime,,TRUE,,,,,http://snomed.info/id/228329000,Time of last alcohol intake,Please enter the date and time.
visits,,,datetime_last_food_ingest,datetime,,TRUE,,,,,http://snomed.info/id/301897001,Time of last food intake,Please enter the date and time.
visits,,,datetime_last_medication_ingest,datetime,,TRUE,,,,,http://purl.obolibrary.org/obo/OBI_0002490,Time of last medication,
visits,,,biospecimens_collected,refback,,,,biospecimens,biospecimen_id,,http://purl.obolibrary.org/obo/NCIT_C70699,Biospecimens collected,
biospecimens,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C70699,Biospecimen Information,
biospecimens,,,biospecimen_id,ref,1,TRUE,,visits,,,,,
biospecimens,,,datetime_of_collection,datetime,,TRUE,,,,,http://purl.obolibrary.org/obo/NCIT_C178869,Time specimen was collected,
biospecimens,,,edta_plasma,heading,,,,,,,http://purl.obolibrary.org/obo/NCIT_C178916,EDTA-Tube/Plasma,
biospecimens,,,edta_plasma_collected,bool,,,,,,,http://purl.obolibrary.org/obo/NCIT_C170548,EDTA-Tube/Plasma collected,Indication if the specimen was collected.
biospecimens,,,edta_plasma_barcode,string,,TRUE,,,,edta_plasma_collected ,http://purl.obolibrary.org/obo/FLU_0001019,Enter the barcode,Click or tap the field below to enter a new barcode. Use your barcode scanner to enter the code or you may manually type it in.
biospecimens,,,edta_plasma_centrifuge,ontology,,,,centrifugation,,edta_plasma_collected ,http://purl.obolibrary.org/obo/MSIO_0000146,Centrifugation,"Centrifugation took place directly after collection. Select one of the options or select ""other"" to enter other information"
biospecimens,,,edta_plasma_centrifuge_other_g,int,,,,,,"edta_plasma_collected  & edta_plasma_centrifuge?.name===""other""",http://snomed.info/id/285649006,Force,
biospecimens,,,edta_plasma_centrifuge_other_temp,int,,,,,,"edta_plasma_collected  & edta_plasma_centrifuge?.name===""other""",http://purl.obolibrary.org/obo/NCIT_C25206,Centrifuge temperature,
biospecimens,,,edta_plasma_centrifuge_other_min,int,,,,,,"edta_plasma_collected  & edta_plasma_centrifuge?.name===""other""",http://purl.obolibrary.org/obo/NCIT_C178881,Minutes,
biospecimens,,,edta_plasma_aliquots,ontology,,,,aliquots,,edta_plasma_collected ,http://semanticscience.org/resource/SIO_010425,Supernatant aliquots,Select a value or enter a specific value
biospecimens,,,edta_plasma_aliquots_other,int,,,,,,"edta_plasma_collected  & edta_plasma_aliquots.name===""other""",http://semanticscience.org/resource/SIO_010425,Enter a number of aliquots,
biospecimens,,,edta_plasma_storage,ontology,,,,storage,,edta_plasma_collected ,http://purl.obolibrary.org/obo/NCIT_C96145,Storage,Select the temperature at which the sample was stored
biospecimens,,,edta_plasma_deviation_remark,text,,,,,,edta_plasma_collected ,http://purl.allotrope.org/ontologies/result#AFR_0002017,Remark in case of deviation,
biospecimens,,,edta_plasma_reason_not_collected,text,,,,,,!edta_plasma_collected,http://purl.obolibrary.org/obo/OBI_0002199,"If no biospecimen, please state the reason.",
biospecimens,,,paxgene_rna,heading,,,,,,,http://purl.obolibrary.org/obo/NCIT_C126394,PAXgene-RNA,
biospecimens,,,paxgene_rna_collected,bool,,,,,,,http://purl.obolibrary.org/obo/NCIT_C170548,PAXgene-RNA collected,Indication if the specimen was collected.
